id,title,tipo,icon,anclajes,lastUpdated,plazas,geometry
"1307,Matilde Sangüesa,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8726300094213141,41.66019093621434]"""
"1315,Camino el Vado,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8668072472736418,41.657472118691615]"""
"684,Zaragoza Activa,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:49,14,""[-0.8681138610600577,41.66385998061068]"""
"468,Calamocha,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.873569897905217,41.673918635858755]"""
"470,Colegio Publico Ramon Sainz de Varanda,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,6,2025-04-22T23:05:49,12,""[-0.8814273689004544,41.6257482917846]"""
"48,Escuela Taller,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8882299019214808,41.65675683337206]"""
"73,Plaza Dos de Mayo,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8764876807702412,41.63436206483045]"""
"458,SEAS San Valero,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,20,2025-04-22T23:05:49,21,""[-0.879176071403087,41.67096707104841]"""
"79,Casa de Juventud Movera,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8215776798704281,41.647885915640224]"""
"105,C/ Pedro Calixto Ramirez,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.874944270362008,41.65243420576319]"""
"40,ALCAMPO Utrillas,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8682863730025123,41.64074616544648]"""
"1501,Francisco de Quevedo,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8661971148694712,41.64104680910371]"""
"994,IES Valdespartera,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,12,2025-04-22T23:05:49,12,""[-0.9311000618046695,41.62563248811617]"""
"486,Instituto Goya,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.8907078961691752,41.643379967218905]"""
"1267,Mariano Baselga,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8779323565521996,41.661235984922264]"""
"126,C.D.M. San Braulio,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8743451953620432,41.66861477170569]"""
"1784,Rafael Esteve Velilla,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8757150810467019,41.687064353244565]"""
"520,Centro Salud San Pablo,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,6,2025-04-22T23:05:49,6,""[-0.8871733726550226,41.656714173985826]"""
"1590,Santa Rosa,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8718228405041676,41.6410703278682]"""
